,id2,geography,totpop2010,totonerace2010,totwhiteonerace2010,pcwhiteonerace2010,PoliticalAffiliation,AvgYearsEduc
575,26163591501,"Census Tract 5915.01, Wayne County, Michigan",3318,3233,2354,70.90000153,Rep,8
576,26163591502,"Census Tract 5915.02, Wayne County, Michigan",3094,3035,2310,74.69999695,Rep,8
577,26163591600,"Census Tract 5916, Wayne County, Michigan",1912,1870,1500,78.5,Rep,8
578,26163591700,"Census Tract 5917, Wayne County, Michigan",6321,6195,5381,85.09999847,Rep,8
579,26163591800,"Census Tract 5918, Wayne County, Michigan",6168,5984,4987,80.90000153,Rep,8
580,26163591900,"Census Tract 5919, Wayne County, Michigan",5463,5383,4915,90,Rep,16
581,26163592000,"Census Tract 5920, Wayne County, Michigan",4351,4290,3777,86.80000305,Rep,16
582,26163593000,"Census Tract 5930, Wayne County, Michigan",5582,5439,4856,87,Rep,16
583,26163593200,"Census Tract 5932, Wayne County, Michigan",3934,3880,3540,90,Rep,16
584,26163593300,"Census Tract 5933, Wayne County, Michigan",3359,3312,3051,90.80000305,Rep,16
